t,ax,ay,az,gx,gy,gz,label
48917,0.98,0.3083,-0.1904,-16.618,1.901,11.695,fall
48937,1.0173,0.3193,-0.1367,-19.847,3.573,5.389,fall
48957,0.9858,0.3337,-0.1353,-21.595,0.893,-2.641,fall
48977,0.949,0.3518,-0.1604,-22.969,-0.13,-5.053,fall
48997,0.9448,0.3638,-0.2034,-23.519,-3.534,-4.588,fall
49017,0.9182,0.4082,-0.2175,-21.748,-8.267,-0.878,fall
49037,0.885,0.4341,-0.2085,-18.618,-8.008,5.221,fall
49057,0.8953,0.4231,-0.1941,-14.718,-3.427,7.679,fall
49077,0.9124,0.3926,-0.1677,-11.626,0.664,5.023,fall
49097,0.9275,0.3843,-0.1614,-9.145,2.992,1.099,fall
49117,0.9529,0.3752,-0.1726,-8.26,2.061,-0.832,fall
49137,0.9609,0.3735,-0.1682,-9.901,1.115,-0.542,fall
49157,0.9541,0.3689,-0.1833,-11.71,1.0,1.702,fall
49177,0.9297,0.3691,-0.1863,-13.351,0.405,3.931,fall
49197,0.9272,0.374,-0.1895,-13.809,-0.916,3.443,fall
49217,0.9312,0.3811,-0.1853,-13.481,-1.221,1.74,fall
49237,0.9294,0.3789,-0.1958,-12.466,-0.076,-0.221,fall
49257,0.9319,0.3894,-0.1831,-10.71,1.901,-1.145,fall
49277,0.9343,0.394,-0.1973,-7.053,4.015,-1.893,fall
49297,0.9189,0.3916,-0.2073,-3.962,4.16,-2.244,fall
49317,0.916,0.3818,-0.2246,-3.947,3.939,-1.489,fall
49337,0.9307,0.376,-0.186,-5.389,5.427,-1.099,fall
49357,0.9495,0.376,-0.1826,-5.992,6.008,-0.573,fall
49377,0.9382,0.3821,-0.1807,-6.458,5.275,-0.481,fall
49397,0.9312,0.3926,-0.1741,-5.038,4.557,-0.183,fall
49417,0.9302,0.3979,-0.1768,-3.0,3.389,0.115,fall
49437,0.9292,0.3984,-0.1785,-0.901,2.496,0.198,fall
49457,0.9312,0.4001,-0.178,0.641,2.496,0.489,fall
49477,0.9404,0.3916,-0.1821,2.031,3.023,0.504,fall
49497,0.9368,0.3892,-0.1833,3.359,2.992,0.107,fall
49517,0.9351,0.395,-0.1726,4.802,2.115,-0.519,fall
49537,0.929,0.4143,-0.1855,5.252,1.374,-1.55,fall
49557,0.915,0.4312,-0.1829,2.939,0.267,-2.359,fall
49577,0.9473,0.4075,-0.1873,1.336,0.496,-1.794,fall
49597,0.9365,0.3884,-0.1846,3.397,-1.13,0.344,fall
49617,0.9287,0.4102,-0.1873,2.382,-1.45,1.855,fall
49637,0.9016,0.4263,-0.1926,-0.244,-1.366,3.481,fall
49657,0.8901,0.425,-0.1892,-2.076,-0.359,4.603,fall
49677,0.9011,0.4141,-0.1804,-3.71,-1.206,4.267,fall
49697,0.8923,0.4209,-0.1792,-5.634,-1.84,3.672,fall
49717,0.8801,0.415,-0.2095,-5.313,4.015,2.557,fall
49737,0.8979,0.4185,-0.1914,-4.198,7.061,2.321,fall
49757,0.8928,0.3943,-0.2068,-3.611,8.023,2.115,fall
49777,0.8811,0.3765,-0.1167,-4.763,11.336,1.534,fall
49797,0.9275,0.3718,-0.1365,-5.023,12.557,-0.328,fall
49817,0.9685,0.3733,-0.1885,-6.176,8.656,-2.847,fall
49837,0.9495,0.3616,-0.1577,-8.885,8.389,-4.321,fall
49857,0.9526,0.325,-0.1282,-10.74,9.206,-3.504,fall
49877,0.9849,0.3162,-0.1428,-12.214,9.427,-2.771,fall
49897,1.0012,0.3274,-0.1304,-13.931,7.366,-1.412,fall
49917,0.9985,0.3521,-0.145,-10.847,7.099,1.947,fall
49937,0.9912,0.3796,-0.1621,-4.687,8.702,5.084,fall
49957,0.9688,0.3777,-0.1396,1.382,10.786,6.954,fall
49977,0.9558,0.3752,-0.1514,8.847,12.008,7.298,fall
49997,0.9548,0.3792,-0.1689,18.023,10.221,4.206,fall
50017,0.9424,0.3525,-0.1917,26.359,7.405,1.221,fall
50037,0.9292,0.3157,-0.165,30.244,5.237,-1.366,fall
50057,0.9607,0.3162,-0.1799,27.954,3.985,-3.695,fall
50077,0.9866,0.3137,-0.1895,22.069,-0.672,-5.099,fall
50097,0.9507,0.2979,-0.1216,13.611,-1.779,-6.076,fall
50117,0.9722,0.3086,-0.134,7.382,-1.168,-9.053,fall
50137,0.9924,0.3379,-0.1589,6.443,-5.038,-11.931,fall
50157,0.9631,0.365,-0.1665,9.664,-9.473,-11.863,fall
50177,0.9478,0.3879,-0.1375,11.244,-9.885,-9.023,fall
50197,0.9402,0.3879,-0.1174,9.679,-5.931,-3.649,fall
50217,0.9229,0.3967,-0.1074,2.748,0.427,1.031,fall
50237,0.9155,0.4214,-0.1372,1.443,3.122,2.855,fall
50257,0.9226,0.4521,-0.1631,3.931,2.412,0.275,fall
50277,0.9124,0.4749,-0.1697,12.74,1.0,-4.992,fall
50297,0.8743,0.4558,-0.1714,23.221,0.901,-10.26,fall
50317,0.8628,0.4375,-0.2051,30.947,1.13,-13.015,fall
50337,0.8965,0.4316,-0.2393,36.298,1.023,-14.328,fall
50357,0.9189,0.4053,-0.2563,38.45,1.725,-14.824,fall
50377,0.9231,0.384,-0.269,36.931,4.229,-13.183,fall
50397,0.9333,0.3738,-0.2932,33.214,6.336,-10.45,fall
50417,0.9426,0.3484,-0.3069,26.42,5.534,-7.023,fall
50438,0.9363,0.3118,-0.3079,20.115,5.176,-3.366,fall
50458,0.9224,0.2976,-0.3013,12.733,5.443,-0.496,fall
50478,0.9043,0.3083,-0.2612,5.641,6.687,0.313,fall
50498,0.938,0.3599,-0.2571,-2.237,2.855,-3.496,fall
50518,0.8718,0.4011,-0.2971,-9.206,0.038,-5.573,fall
50538,0.7996,0.4165,-0.2805,-8.916,4.405,-3.031,fall
50558,0.783,0.4172,-0.2537,-2.954,12.672,-2.13,fall
50578,0.8779,0.4626,-0.3213,5.481,9.412,-2.779,fall
50598,0.9353,0.4299,-0.2444,11.878,5.695,-4.756,fall
50618,0.9487,0.4021,-0.2664,11.282,8.992,-2.992,fall
50638,0.99,0.4106,-0.2686,6.0,10.794,0.573,fall
